location,dates,job-title,summary,pros,cons,overall-ratings,pros_clean,pros_lemmas,cons_clean,cons_lemmas,full_review_lemmas,pros_vader,cons_vader,cons_textblob,sentiment_final
"Bellevue, WA",2018-07-11,Current Employee - Program Manager,Good environment for soft landing,Best benefits Tons of training materials available Patient until you show performance,Need play politics Slow decision making,4.0,best benefits tons of training materials available patient until you show performance,good benefit ton training material available patient show performance,need play politics slow decision making,need play politic slow decision make,good benefit ton training material available patient show performance need play politic slow decision make,0.7783,0.34,-0.30000000000000004,Positivo
none,2018-06-25,Current Employee - Anonymous Employee,Meaningful work and great work/life balance,"- Great work/life balance - Everything you ship impacts millions of users - There are a lot of different teams, and there's bound to be one that's a good fit",- There's a lot of bureaucracy and red tape - shipping even small features could take months,5.0, great worklife balance  everything you ship impacts millions of users  there are a lot of different teams and theres bound to be one thats a good fit,great worklife balance everything ship impact million user lot different team bind one good fit, theres a lot of bureaucracy and red tape  shipping even small features could take months,lot bureaucracy red tape ship even small feature could take month,great worklife balance everything ship impact million user lot different team bind one good fit lot bureaucracy red tape ship even small feature could take month,0.8591,0.0,-0.125,Neutral
none,2018-06-24,Current Employee - Anonymous Employee,Great company for an FTE,-Working with intelligent people -Benefits -Salary -Seattle/Redmond are great cities to live in,-Company overuses contract employees to do the work of full time employees without providing ample benefits,5.0,working with intelligent people benefits salary seattleredmond are great cities to live in,work intelligent people benefit salary seattleredmond great city live,company overuses contract employees to do the work of full time employees without providing ample benefits,company overuse contract employee work full time employee without provide ample benefit,work intelligent people benefit salary seattleredmond great city live company overuse contract employee work full time employee without provide ample benefit,0.8658,-0.2924,0.35,Negativo
"Redmond, WA",2018-06-24,Former Employee - Senior Software Engineer,Great place to work,You get to work on some cool leading edge products Depending on the team you can have a lot of influence on product direction. Great salary Great benefits Lots of opportunity to move around and work on different things.,Too much politics at the upper levels Projects get cancelled just because of petty arguments by VP's,5.0,you get to work on some cool leading edge products depending on the team you can have a lot of influence on product direction great salary great benefits lots of opportunity to move around and work on different things,get work cool lead edge product depend team lot influence product direction great salary great benefit lot opportunity move around work different thing,too much politics at the upper levels projects get cancelled just because of petty arguments by vps,much politic upper level project get cancel petty argument vps,get work cool lead edge product depend team lot influence product direction great salary great benefit lot opportunity move around work different thing much politic upper level project get cancel petty argument vps,0.9423,-0.6705,0.1,Negativo
"Redmond, WA",2018-07-07,Current Employee - Software Engineer,Microsoft,Great work life balance. Chill atmosphere,Hard to stand out. Compensation is not competitive.,4.0,great work life balance chill atmosphere,great work life balance chill atmosphere,hard to stand out compensation is not competitive,hard stand compensation not competitive,great work life balance chill atmosphere hard stand compensation not competitive,0.6249,-0.2306,-0.2916666666666667,Negativo
none,2018-07-07,Current Employee - Anonymous Employee,Overall great lifestyle,Great company with a good work life balance,"Growth opportunities are slow, due to the size of the company",3.0,great company with a good work life balance,great company good work life balance,growth opportunities are slow due to the size of the company,growth opportunity slow due size company,great company good work life balance growth opportunity slow due size company,0.7906,0.6369,-0.21250000000000002,Positivo
"Bellevue, WA",2018-06-22,Former Employee - Senior Program Manager,Senior Program Manager,Microsoft cares about its employees.,Microsoft historically has a monoculture that can restrict your exposure to alternative methods.,5.0,microsoft cares about its employees,microsoft care employee,microsoft historically has a monoculture that can restrict your exposure to alternative methods,microsoft historically monoculture restrict exposure alternative method,microsoft care employee microsoft historically monoculture restrict exposure alternative method,0.4588,-0.3818,0.0,Negativo
none,2018-07-06,Former Employee - Anonymous Employee,Licensing Executive,Good pay and great benefits.,"Buracracy, no work life balance, spent more time defending and documenting the job role then performing the job role.",2.0,good pay and great benefits,good pay great benefit,buracracy no work life balance spent more time defending and documenting the job role then performing the job role,buracracy no work life balance spend time defend document job role perform job role,good pay great benefit buracracy no work life balance spend time defend document job role perform job role,0.8481,-0.296,0.2,Negativo
none,2018-07-06,Current Employee - Anonymous Employee,SWE in Msft,"Good for new hires, you can learn a lot. Since it's a big company, you can try many things within it to find you passion. Good benefits.","Depends on the team, way too much stress. Sometimes the team work is good, but too many reorgs makes things unstable. The more senior you get, the more corporate politics you have to deal with. Underpays compared to companies of same or even less size.",3.0,good for new hires you can learn a lot since its a big company you can try many things within it to find you passion good benefits,good new hire learn lot since big company try many thing within find passion good benefit,depends on the team way too much stress sometimes the team work is good but too many reorgs makes things unstable the more senior you get the more corporate politics you have to deal with underpays compared to companies of same or even less size,depend team way much stress sometimes team work good many reorgs make thing unstable senior get corporate politic deal underpay compare company even less size,good new hire learn lot since big company try many thing within find passion good benefit depend team way much stress sometimes team work good many reorgs make thing unstable senior get corporate politic deal underpay compare company even less size,0.886,-0.4939,0.2791666666666667,Negativo
"Redmond, WA",2018-07-06,Current Employee - Anonymous Employee,SR global logistics Manager,"great company, good benefits , have a lot to learned that they give you opportunities","Rough environment, no team players , challenging place to work",3.0,great company good benefits  have a lot to learned that they give you opportunities,great company good benefit lot learn give opportunity,rough environment no team players  challenging place to work,rough environment no team player challenge place work,great company good benefit lot learn give opportunity rough environment no team player challenge place work,0.9042,-0.1531,0.2,Negativo
"Oak Brook, IL",2018-07-05,Current Employee - SERVICE ADVISOR,Great Company To Work For,They listen and truly care about their employees. They provide us opportunities for improvement in the company.,"There isn't much negative things to say! Microsoft provides great benefits and allows for a great work/life balance. The only thing I wish is Microsoft market their Surface brands better. You don't see as much Surface commercials as you do Apple, Google, or Amazon.",4.0,they listen and truly care about their employees they provide us opportunities for improvement in the company,listen truly care employee provide we opportunity improvement company,there isnt much negative things to say microsoft provides great benefits and allows for a great worklife balance the only thing i wish is microsoft market their surface brands better you dont see as much surface commercials as you do apple google or amazon,not much negative thing say microsoft provide great benefit allow great worklife balance thing wish microsoft market surface brand well not see much surface commercial apple google amazon,listen truly care employee provide we opportunity improvement company not much negative thing say microsoft provide great benefit allow great worklife balance thing wish microsoft market surface brand well not see much surface commercial apple google amazon,0.8934,0.9656,0.32083333333333336,Positivo
"Redmond, WA",2018-06-20,Current Employee - Senior Animator,Great job. <3,"Lotta money, health insurance is nice, I get to work with my best friends all day.",Even at 343 the environment is way too corporate/producer-heavy/meeting-heavy.,5.0,lotta money health insurance is nice i get to work with my best friends all day,lotta money health insurance nice get work good friend day,even at  the environment is way too corporateproducerheavymeetingheavy,even environment way corporateproducerheavymeetingheavy,lotta money health insurance nice get work good friend day even environment way corporateproducerheavymeetingheavy,0.8779,0.0,0.0,Neutral
none,2018-06-20,Current Employee - Anonymous Employee,Committed to Growth Mindset,The company has changed completely under Satya. It strives to do the best that it can with people and products.,It is still a big company. Lots of policies and procedures. Has trouble figuring out how to best manage and develop remote workforce.,5.0,the company has changed completely under satya it strives to do the best that it can with people and products,company change completely satya strive good people product,it is still a big company lots of policies and procedures has trouble figuring out how to best manage and develop remote workforce,still big company lot policy procedure trouble figure well manage develop remote workforce,company change completely satya strive good people product still big company lot policy procedure trouble figure well manage develop remote workforce,0.6369,0.3612,0.17500000000000002,Positivo
"Redmond, WA",2018-06-18,Former Employee - Content Writer,It all depends on your manager,Great benefits. Working on products that help and affect many people.,"Slow moving. Too many managers. Managers feel the need to prove something by changing established processes. Often, they can't explain why, they just want their review to look good. Your success depends on your manager. I had many managers, the last one was unsupportive, and became openly hostile when I complained, making up a lot of untrue things about me. HR ignored my complaints. I felt I had no choice buy to leave. Even now, I can't give away to much about my position for feat that the manager will try to retaliate.",3.0,great benefits working on products that help and affect many people,great benefit work product help affect many people,slow moving too many managers managers feel the need to prove something by changing established processes often they cant explain why they just want their review to look good your success depends on your manager i had many managers the last one was unsupportive and became openly hostile when i complained making up a lot of untrue things about me hr ignored my complaints i felt i had no choice buy to leave even now i cant give away to much about my position for feat that the manager will try to retaliate,slow move many manager manager feel need prove something change established process often can not explain want review look good success depend manager many manager last one unsupportive become openly hostile complain make lot untrue thing hr ignore complaint feel no choice buy leave even can not give away much position feat manager try retaliate,great benefit work product help affect many people slow move many manager manager feel need prove something change established process often can not explain want review look good success depend manager many manager last one unsupportive become openly hostile complain make lot untrue thing hr ignore complaint feel no choice buy leave even can not give away much position feat manager try retaliate,0.8555,-0.5859,0.17777777777777776,Negativo
none,2018-06-19,Current Employee - Anonymous Employee,Senior account manager,Incredible benefits and amazing pay,Hard to move and into management,5.0,incredible benefits and amazing pay,incredible benefit amazing pay,hard to move and into management,hard move management,incredible benefit amazing pay hard move management,0.7184,-0.1027,-0.2916666666666667,Negativo
"Redmond, WA",2018-06-20,Current Employee - Product Marketing Manager,Great place,"Flexible hours, great benefits, work isn't toooo hard","Limited room for advancement at times, not a wonderful place to be early career.",5.0,flexible hours great benefits work isnt toooo hard,flexible hour great benefit work not toooo hard,limited room for advancement at times not a wonderful place to be early career,limited room advancement time not wonderful place early career,flexible hour great benefit work not toooo hard limited room advancement time not wonderful place early career,0.8358,-0.5991,-0.15714285714285714,Negativo
none,2018-07-04,Current Employee - Anonymous Employee,Senior Data Scientist,Many things to learn and grow,A lot of people working on similar projects,4.0,many things to learn and grow,many thing learn grow,a lot of people working on similar projects,lot people work similar project,many thing learn grow lot people work similar project,0.0,0.0,0.0,Neutral
none,2018-06-30,Current Employee - Anonymous Employee,The score on Microsoft,Great opportunities to explore different businesses. There are not many composites that give you so much exposure.,Culture is lacking. It's becoming competitive to the point that his work doesn't matter as much as who's agenda you align with. Sad really.,4.0,great opportunities to explore different businesses there are not many composites that give you so much exposure,great opportunity explore different business not many composite give much exposure,culture is lacking its becoming competitive to the point that his work doesnt matter as much as whos agenda you align with sad really,culture lack become competitive point work not matter much agenda align sad really,great opportunity explore different business not many composite give much exposure culture lack become competitive point work not matter much agenda align sad really,0.7717,-0.3557,0.08750000000000001,Negativo
none,2018-06-18,Current Employee - Anonymous Employee,Manager,Great compensation and work hours,NONE THAT I CAN THINK OF,5.0,great compensation and work hours,great compensation work hour,none that i can think of,none think,great compensation work hour none think,0.6249,0.0,0.0,Neutral
none,2018-07-02,Former Employee - Anonymous Employee,Finance Analyst,Great location - huge company with many teams working on different products and services,Hard to push things through - many layers of management and eventually many good ideas just get lost on the way.,4.0,great location  huge company with many teams working on different products and services,great location huge company many team work different product service,hard to push things through  many layers of management and eventually many good ideas just get lost on the way,hard push thing many layer management eventually many good idea get lose way,great location huge company many team work different product service hard push thing many layer management eventually many good idea get lose way,0.7506,0.0516,0.3520833333333333,Positivo
none,2018-06-30,Former Employee - Anonymous Employee,Find the right group and you are good - wrong group - run for the hills,Lots of opportunities to move around internally,Each group is like its own little company and some of them are very backstabbing,4.0,lots of opportunities to move around internally,lot opportunity move around internally,each group is like its own little company and some of them are very backstabbing,group like little company backstabbing,lot opportunity move around internally group like little company backstabbing,0.3818,0.3612,0.2041666666666667,Positivo
none,2018-06-30,Former Employee - Anonymous Employee,Sr. Director of Product Management,"Very talented people, many opportunities","Passive aggressive behavior is the only way to get ahead, everyone does it",3.0,very talented people many opportunities,talented people many opportunity,passive aggressive behavior is the only way to get ahead everyone does it,passive aggressive behavior way get ahead everyone,talented people many opportunity passive aggressive behavior way get ahead everyone,0.7346,0.0516,0.0,Positivo
"Redmond, WA",2018-07-02,Former Employee - Anonymous Employee,Review,"Dynamic, flxible, great culture. Diversity celebrated.","Siloed, lots of change, waterfall driven v Agile",4.0,dynamic flxible great culture diversity celebrated,dynamic flxible great culture diversity celebrate,siloed lots of change waterfall driven v agile,siloe lot change waterfall drive v agile,dynamic flxible great culture diversity celebrate siloe lot change waterfall drive v agile,0.886,0.0,0.5,Neutral
"Redmond, WA",2018-07-23,Current Employee - Boss,"Toxic, racist, boys club. If you are anyone other than a 40+ white male, stay away.",Compensation is high for Seattle Puget Sound area,"Highly racist organization. Daily micro aggressions (and blatant racism) asserted towards POCs. Boys club with widespread sexual harassment and collusion across the company. Company puts a lot of energy and effort to manage perceptions around racism, gender bias, etc., but it is a show.  Completely bland and soul-sucking culture. Most are there for the money. I rarely saw true passion exhibited.  Awful work-life balance, similar to Amazon.  Disgusting, stifling level of politics. I wonder if half that time was put into innovation, how much further the company could go. Get out of this position of trying to chase Amazon/Apple/Google or some awful idea your Manager’s Manager came up with because they’ve been at Microsoft 20+ years and lost touch with current tech/media/business trends and/or got their job based on politics, instead of actual competency.  Where are these Directors/GMs being found? Hire leaders with actual desire and competency to be people leaders, not just managing cost centers.  Unless you are trying to put your kids through private school or need a Visa, I’m at a complete loss as to why anyone works here.",1.0,compensation is high for seattle puget sound area,compensation high seattle puget sound area,highly racist organization daily micro aggressions and blatant racism asserted towards pocs boys club with widespread sexual harassment and collusion across the company company puts a lot of energy and effort to manage perceptions around racism gender bias etc but it is a show  completely bland and soulsucking culture most are there for the money i rarely saw true passion exhibited  awful worklife balance similar to amazon  disgusting stifling level of politics i wonder if half that time was put into innovation how much further the company could go get out of this position of trying to chase amazonapplegoogle or some awful idea your manager’s manager came up with because they’ve been at microsoft  years and lost touch with current techmediabusiness trends andor got their job based on politics instead of actual competency  where are these directorsgms being found hire leaders with actual desire and competency to be people leaders not just managing cost centers  unless you are trying to put your kids through private school or need a visa i’m at a complete loss as to why anyone works here,highly racist organization daily micro aggression blatant racism assert towards poc boy club widespread sexual harassment collusion across company company put lot energy effort manage perception around racism gender bias etc show completely bland soulsucke culture money rarely see true passion exhibit awful worklife balance similar amazon disgusting stifle level politic wonder half time put innovation much company could go get position try chase amazonapplegoogle awful idea manager ’s manager come ’ve microsoft year lose touch current techmediabusiness trend andor get job base politic instead actual competency directorsgm find hire leader actual desire competency people leader not manage cost center unless try put kid private school need visa ’m complete loss anyone work,compensation high seattle puget sound area highly racist organization daily micro aggression blatant racism assert towards poc boy club widespread sexual harassment collusion across company company put lot energy effort manage perception around racism gender bias etc show completely bland soulsucke culture money rarely see true passion exhibit awful worklife balance similar amazon disgusting stifle level politic wonder half time put innovation much company could go get position try chase amazonapplegoogle awful idea manager ’s manager come ’ve microsoft year lose touch current techmediabusiness trend andor get job base politic instead actual competency directorsgm find hire leader actual desire competency people leader not manage cost center unless try put kid private school need visa ’m complete loss anyone work,0.0,-0.9734,-0.1012280701754386,Negativo
"Redmond, WA",2018-06-13,Current Employee - Software Engineer-II,Great work life balance,A company where you feel like the work you are doing affects the lives of millions of people,Benefits and bonuses are low compared to other companies,5.0,a company where you feel like the work you are doing affects the lives of millions of people,company feel like work affect life million people,benefits and bonuses are low compared to other companies,benefit bonus low compare company,company feel like work affect life million people benefit bonus low compare company,0.3612,0.6249,-0.0625,Positivo
"India, TN",2018-06-17,Current Employee - Data Entry,5 years experience in data entry my work is my identity,I love Microsoft and biggest salary,I like challenges and any time ready,5.0,i love microsoft and biggest salary,love microsoft big salary,i like challenges and any time ready,like challenge time ready,love microsoft big salary like challenge time ready,0.6369,0.6486,0.2,Positivo
"Cheyenne, WY",2018-06-12,Current Employee - Data Center Technician Lead,Data Center Technician Lead,The benefits are great here but I would argue on par with other companies this size. I believe in Microsoft's mission and Satya is greatness!,Microsoft culture has not made it to the data centers. Data Centers are grey cubicles and extremely boring to work in.,5.0,the benefits are great here but i would argue on par with other companies this size i believe in microsofts mission and satya is greatness,benefit great would argue par company size believe microsoft mission satya greatness,microsoft culture has not made it to the data centers data centers are grey cubicles and extremely boring to work in,microsoft culture not make datum center datum center grey cubicle extremely boring work,benefit great would argue par company size believe microsoft mission satya greatness microsoft culture not make datum center datum center grey cubicle extremely boring work,0.1386,-0.3384,-0.525,Negativo
none,2018-06-29,Former Employee - Anonymous Employee,"Passive-Agressive Management, Useless HR People",Interesting work in some groups.,Target of discrimination. HR ignored the issue. No way to reign in malicious managers.,3.0,interesting work in some groups,interesting work group,target of discrimination hr ignored the issue no way to reign in malicious managers,target discrimination hr ignore issue no way reign malicious manager,interesting work group target discrimination hr ignore issue no way reign malicious manager,0.4019,-0.5423,0.0,Negativo
"Redmond, WA",2018-06-29,Current Employee - Anonymous Employee,Senior software engineer,"Great people, culture and benefits",Many old technology and legacy products to maintain. Opportunities are limited.,3.0,great people culture and benefits,great people culture benefit,many old technology and legacy products to maintain opportunities are limited,many old technology legacy product maintain opportunity limit,great people culture benefit many old technology legacy product maintain opportunity limit,0.7717,0.1779,0.1761904761904762,Positivo
"Bellevue, WA",2018-06-14,Current Employee - Software Engineer II,Its perfect,Nice environment for an engineer to work and learn latest technologies,nothing found as of now,5.0,nice environment for an engineer to work and learn latest technologies,nice environment engineer work learn late technology,nothing found as of now,nothing find,nice environment engineer work learn late technology nothing find,0.4215,0.0,0.0,Neutral
"Redmond, WA",2018-06-27,Current Employee - Senior Program Manager,Great,"Work on cutting edge technologies, good work-life balance","Large organization, so at times might be challenging to get things done",4.0,work on cutting edge technologies good worklife balance,work cut edge technology good worklife balance,large organization so at times might be challenging to get things done,large organization time might challenge get thing do,work cut edge technology good worklife balance large organization time might challenge get thing do,0.34,0.1531,0.35714285714285715,Positivo
"Reno, NV",2018-07-19,Former Employee - Project Manager,Project Manager,Nice cafeteria and little else,"Everything else. Poor mid management, incompetent project/program mangers. Needed to hire an outside contractor to teach the FTE's how to use Microsoft Project. Not one person knew what a critical path schedule was or even that their own software was supposed to produce one.",1.0,nice cafeteria and little else,nice cafeteria little else,everything else poor mid management incompetent projectprogram mangers needed to hire an outside contractor to teach the ftes how to use microsoft project not one person knew what a critical path schedule was or even that their own software was supposed to produce one,everything else poor mid management incompetent projectprogram manger need hire outside contractor teach fte use microsoft project not one person know critical path schedule even software suppose produce one,nice cafeteria little else everything else poor mid management incompetent projectprogram manger need hire outside contractor teach fte use microsoft project not one person know critical path schedule even software suppose produce one,0.4215,-0.8176,-0.025000000000000005,Negativo
none,2018-06-28,Current Employee - Anonymous Employee,Senior Software Engineer,Work life balance is good,Compensation is not at par with industry,2.0,work life balance is good,work life balance good,compensation is not at par with industry,compensation not par industry,work life balance good compensation not par industry,0.4404,0.0,0.0,Neutral
"Redmond, WA",2018-06-21,Former Employee - Principal User Experience Designer,Great company and improving culture,"Exciting place to work. You can work on almost anything if you put your mind to it. The company has a good culture now after overcoming some of the overly aggressive ""dude culture"" from earlier years.",Schedule can be tough if you don't manage it well. Many managers will take as much of you as they can get so you need to set reasonable boundaries.,4.0,exciting place to work you can work on almost anything if you put your mind to it the company has a good culture now after overcoming some of the overly aggressive dude culture from earlier years,exciting place work work almost anything put mind company good culture overcome overly aggressive dude culture early year,schedule can be tough if you dont manage it well many managers will take as much of you as they can get so you need to set reasonable boundaries,schedule tough not manage well many manager take much get need set reasonable boundary,exciting place work work almost anything put mind company good culture overcome overly aggressive dude culture early year schedule tough not manage well many manager take much get need set reasonable boundary,0.6705,-0.3213,0.12777777777777777,Negativo
none,2018-06-26,Current Employee - Anonymous Employee,TPM,"Good learning opportunity, great environment and culture","Slower pace, long process and approval lines",4.0,good learning opportunity great environment and culture,good learning opportunity great environment culture,slower pace long process and approval lines,slow pace long process approval line,good learning opportunity great environment culture slow pace long process approval line,0.8689,0.4767,-0.05,Positivo
"Seattle, WA",2018-06-10,Current Employee - Partner Director of Product Management,Partner Director of Product Management,"Exciting work involving challenges across business, experience and technology.","Old cultures don't change overnight. Change takes time, but it's happening.",5.0,exciting work involving challenges across business experience and technology,exciting work involve challenge across business experience technology,old cultures dont change overnight change takes time but its happening,old culture not change overnight change take time happening,exciting work involve challenge across business experience technology old culture not change overnight change take time happening,0.5423,0.0,0.1,Neutral
"Bellevue, WA",2018-06-10,Current Employee - Solutions Architect,A title,"Great company with a lot of great people, and the luxury to invest in visions.","Big and sometimes very bureaucratic. Very afraid it cannot shake the reputation, aquired in the 90's and early 2000's of being evil.",5.0,great company with a lot of great people and the luxury to invest in visions,great company lot great people luxury invest vision,big and sometimes very bureaucratic very afraid it cannot shake the reputation aquired in the s and early s of being evil,big sometimes bureaucratic afraid not shake reputation aquire early evil,great company lot great people luxury invest vision big sometimes bureaucratic afraid not shake reputation aquire early evil,0.8779,-0.597,-0.296,Negativo
none,2018-06-10,Current Employee - Anonymous Employee,Great place to work,Lot of freedom and opportunity to impact,Not many that I can think of,5.0,lot of freedom and opportunity to impact,lot freedom opportunity impact,not many that i can think of,not many think,lot freedom opportunity impact not many think,0.7906,0.0,-0.25,Neutral
none,2018-06-24,Current Employee - Anonymous Employee,Group Program Manager,"Global influence, superior technology, good growth when compared to size and stability","complex business, complex hierarchy, low work-life balance",4.0,global influence superior technology good growth when compared to size and stability,global influence superior technology good growth compare size stability,complex business complex hierarchy low worklife balance,complex business complex hierarchy low worklife balance,global influence superior technology good growth compare size stability complex business complex hierarchy low worklife balance,0.8402,-0.2732,-0.19999999999999998,Negativo
"Redmond, WA",2018-06-24,Former Employee - Anonymous Employee,Director Sales Excellence,"Professional, profitable, stable, good people, good policies","Impersonal, very big, bureaucratic, not warm",4.0,professional profitable stable good people good policies,professional profitable stable good people good policy,impersonal very big bureaucratic not warm,impersonal big bureaucratic not warm,professional profitable stable good people good policy impersonal big bureaucratic not warm,0.872,-0.4526,-0.15,Negativo
"Redmond, WA",2018-06-24,Current Employee - Senior Software Engineer,Good company but mediocre pay,Great perks! Great benefits! Good work life balance and nice people.,Compared to FANG comp is not high. Very hard to move up senior band and often very political driven development.,4.0,great perks great benefits good work life balance and nice people,great perk great benefit good work life balance nice people,compared to fang comp is not high very hard to move up senior band and often very political driven development,compare fang comp not high hard move senior band often political drive development,great perk great benefit good work life balance nice people compare fang comp not high hard move senior band often political drive development,0.9523,0.1313,-0.15305555555555558,Positivo
"Redmond, WA",2018-06-06,Former Employee - User Experience Designer II,"Beautiful campus, smart employees, great learning experience, highly recommended.","Beautiful campus, smart employees, great learning experiences, some interesting challenges, highly recommended.","Politics, processes, sometimes too many hurdles to get something shipped",5.0,beautiful campus smart employees great learning experiences some interesting challenges highly recommended,beautiful campus smart employee great learning experience interesting challenge highly recommend,politics processes sometimes too many hurdles to get something shipped,politic process sometimes many hurdle get something ship,beautiful campus smart employee great learning experience interesting challenge highly recommend politic process sometimes many hurdle get something ship,0.9412,0.0,0.5,Neutral
"Redmond, WA",2018-06-23,Current Employee - Software Engineer,Not the best for early in career,"Work life balance, Stock price",Compensation and benefits not as competitive,3.0,work life balance stock price,work life balance stock price,compensation and benefits not as competitive,compensation benefit not competitive,work life balance stock price compensation benefit not competitive,0.0,0.2691,0.0,Positivo
"Redmond, WA",2018-06-22,Former Employee - Anonymous Employee,Software Engineer 2,"Great benefits, and compensation was in top 1% for seattle.","Poor management, lackluster products, legacy technology",4.0,great benefits and compensation was in top  for seattle,great benefit compensation top seattle,poor management lackluster products legacy technology,poor management lackluster product legacy technology,great benefit compensation top seattle poor management lackluster product legacy technology,0.8176,-0.4767,-0.4,Negativo
none,2018-06-22,Current Employee - Anonymous Employee,Great Company. Hard to grow in smaller locations,"Benefits, transparency and the people are amazing!",tough to grow unless you are the GOAT and already have the experience,4.0,benefits transparency and the people are amazing,benefit transparency people amazing,tough to grow unless you are the goat and already have the experience,tough grow unless goat already experience,benefit transparency people amazing tough grow unless goat already experience,0.7712,-0.128,-0.3888888888888889,Negativo
"Seattle, WA",2018-06-04,Former Employee - Data Center Technician,Data Center technician,Great work environmentwith opportunities to learn and grow. Excellent benefits and inter teams communication.,Ever changing landscape of projects,5.0,great work environmentwith opportunities to learn and grow excellent benefits and inter teams communication,great work environmentwith opportunity learn grow excellent benefit inter team communication,ever changing landscape of projects,ever change landscape project,great work environmentwith opportunity learn grow excellent benefit inter team communication ever change landscape project,0.9186,0.0,0.0,Neutral
"Redmond, WA",2018-06-07,Former Employee - Anonymous Employee,Software Engineer,"Smart people, good facilities and food.",Poor work life balance. Too much pressure.,5.0,smart people good facilities and food,smart people good facility food,poor work life balance too much pressure,poor work life balance much pressure,smart people good facility food poor work life balance much pressure,0.6808,-0.6486,-0.1,Negativo
none,2018-06-03,Current Employee - Anonymous Employee,Software Engineer,Employee focused Work life balance Good culture Innovative Encouraging,Compensation is less compared to the competiton,5.0,employee focused work life balance good culture innovative encouraging,employee focus work life balance good culture innovative encouraging,compensation is less compared to the competiton,compensation less compare competiton,employee focus work life balance good culture innovative encouraging compensation less compare competiton,0.8957,0.0,-0.16666666666666666,Neutral
none,2018-06-06,Current Employee - Anonymous Employee,Great,"Fast paced, have a great long g term career here","Can be challenging, aggressive and long work hours",5.0,fast paced have a great long g term career here,fast paced great long g term career,can be challenging aggressive and long work hours,challenge aggressive long work hour,fast paced great long g term career challenge aggressive long work hour,0.6249,0.0,0.225,Neutral
"Redmond, WA",2018-06-20,Current Employee - Program Manager,"Lot of opportunities, you can pick and choose the team you want to work for.","Great work life balance, stability",Pay not as competitive compared to other top companies..,4.0,great work life balance stability,great work life balance stability,pay not as competitive compared to other top companies,pay not competitive compare top company,great work life balance stability pay not competitive compare top company,0.6249,-0.0305,0.1875,Neutral
none,2018-06-18,Current Employee - Anonymous Employee,Ok company to work for,Lots of varying opportunities. Relatively easy work since there are often multiple people doing the same job.,There are often multiple people doing the same job. You have to speak louder than others to be heard.,3.0,lots of varying opportunities relatively easy work since there are often multiple people doing the same job,lot vary opportunity relatively easy work since often multiple people job,there are often multiple people doing the same job you have to speak louder than others to be heard,often multiple people job speak louder other hear,lot vary opportunity relatively easy work since often multiple people job often multiple people job speak louder other hear,0.6705,0.0,0.0,Neutral
none,2018-06-05,Current Employee - Anonymous Employee,"Great Benefits, v smart people","Smart people, interesting products, growth",Industry- a bit slower- but gives more work life balance,5.0,smart people interesting products growth,smart people interesting product growth,industry a bit slower but gives more work life balance,industry bit slow give work life balance,smart people interesting product growth industry bit slow give work life balance,0.7906,0.0,0.5,Neutral
"Redmond, WA",2018-06-04,Current Employee - Network Engineer,Amazing Company,"Great benefits, decent pay, good vacation time","Everything is very compartmentalized, makes it hard to branch out within outside your org.",5.0,great benefits decent pay good vacation time,great benefit decent pay good vacation time,everything is very compartmentalized makes it hard to branch out within outside your org,everything compartmentalized make hard branch within outside org,great benefit decent pay good vacation time everything compartmentalized make hard branch within outside org,0.8481,-0.1027,-0.030555555555555558,Negativo
none,2018-06-18,Former Employee - Anonymous Employee,software engineer,"great salary, career progression.I love Microsoft",I like challenges and any time ready,4.0,great salary career progressioni love microsoft,great salary career progressioni love microsoft,i like challenges and any time ready,like challenge time ready,great salary career progressioni love microsoft like challenge time ready,0.8519,0.6486,0.2,Positivo
none,2018-07-10,Former Employee - Anonymous Employee,Software Engineer,"Brand recognition, relocating to better city","Old technology, incompetent management, slow moving",1.0,brand recognition relocating to better city,brand recognition relocate well city,old technology incompetent management slow moving,old technology incompetent management slow move,brand recognition relocate well city old technology incompetent management slow move,0.4404,-0.4767,-0.18333333333333335,Negativo
"South Florida, FL",2018-06-03,Current Employee - Product Advisor,Microsoft is the employee focused company I’ve ever seen,Great work environment Career growth Health/dental/vision benefits College reimbursement,Overbearing Working holidays Difficult to take vacations,5.0,great work environment career growth healthdentalvision benefits college reimbursement,great work environment career growth healthdentalvision benefit college reimbursement,overbearing working holidays difficult to take vacations,overbear work holiday difficult take vacation,great work environment career growth healthdentalvision benefit college reimbursement overbear work holiday difficult take vacation,0.8519,0.0258,-0.5,Neutral
"Bellevue, WA",2018-05-30,Current Employee - Principal Researcher,Microsoft Culture,"Microsoft is a pure meritocracy. Results drive success. If you are result-driven, you will fit in and do well.",The company tends to spin up several projects when a new hot area comes along. The internal competition for success can get messy.,5.0,microsoft is a pure meritocracy results drive success if you are resultdriven you will fit in and do well,microsoft pure meritocracy result drive success resultdriven fit well,the company tends to spin up several projects when a new hot area comes along the internal competition for success can get messy,company tend spin several project new hot area come along internal competition success get messy,microsoft pure meritocracy result drive success resultdriven fit well company tend spin several project new hot area come along internal competition success get messy,0.836,0.296,0.08106060606060604,Positivo
